Кластер;Запрос;Показов/мес;Топ-1;Частота1;Топ-2;Частота2;Топ-3;Частота3
Зарубежные модели;deepseek;212112;deepseek;212112;deepseek нейросеть;33075;deepseek com;20208
Инструменты;нейросеть для текста;99361;нейросеть для текста;99361;нейросеть для генерации текста;64625;нейросеть для текста бесплатно;23509
ИИ-агенты;ии агент;72294;создание ии агентов;3660;как создать ии агента;3528;что такое ии агент;3206
Инструменты;нейросеть для генерации текста;64625;нейросеть для генерации текста;64625;нейросеть для генерации текста бесплатно;16074;нейросеть для генерации текста без;1555
Инструменты;gigachat;53973;gigachat;53973;запросы gigachat;7348;gigachat алиса;5455
Инструменты;ии для презентаций;50858;ии для презентаций;50858;ии для создания презентаций;18047;ии для презентаций бесплатно;16770
Отрасли;автоматизация производства;34554;автоматизация производства;34554;автоматизация процессов и производств;10384;автоматизация технологических производств;9731
Инструменты;нейросеть для работы;19741;нейросети для работы;19743;нейросеть для работы педагога;3277;бесплатные нейросети для работы;2043
Инструменты;ии для создания презентаций;18047;ии для создания презентаций;18047;ии для создания презентаций бесплатно;7126;ии для создания презентаций на русском;1378
Ассистенты/боты;ии для сайта;16213;ии для сайта;16213;ии для создания сайтов;5732;ии для создания сайта бесплатно;1656
Инструменты;yandexgpt;15047;yandexgpt;15047;нейросеть yandexgpt;1900;яндекс yandexgpt;1673
Внедрение;внедрение ии;14613;внедрение ии;14613;внедрение систем ии;1270;внедрение ии в бизнес;1106
Отрасли;ии для учителя;13248;ии для учителей;13248;курсы по ии для учителей;1769;ии для учителей бесплатно;1573
ИИ-агенты;ai агент;11385;ai агент;11385;ai ии агент;774;создание ai агентов;690
Юристы;ии для юристов;10303;ии для юристов;10303;стриж ии для юристов;3386;ии для юристов бесплатно;1201
Внедрение;ии для бизнеса;9042;ии для бизнеса;9042;ии агенты для бизнеса;1535;ии для бизнеса обучение;624
Отрасли;автоматизация технологических процессов и производств;8823;автоматизация технологических процессов и производств;8823;специальность автоматизация технологических процессов и производств;1032;профессия автоматизация технологических процессов и производств;700
Управление/люди;цифровые сотрудники;5809;цифровой сотрудник;5815;электронный цифровой сотрудник;396;руководитель цифровых сотрудников;394
Отрасли;ии в медицине;4635;ии в медицине;4635;применение ии в медицине;587;использование ии в медицине;495
