Кластер;Запрос;Показов/мес;Топ-1;Частота1;Топ-2;Частота2;Топ-3;Частота3
Инструменты;нейросеть для текста;99361;нейросеть для текста;99361;нейросеть для генерации текста;64625;нейросеть для текста бесплатно;23509
ИИ-агенты;ии агент;72294;создание ии агентов;3660;как создать ии агента;3528;что такое ии агент;3206
Инструменты;gigachat;53973;gigachat;53973;запросы gigachat;7348;gigachat алиса;5455
Инструменты;ии для презентаций;50858;ии для презентаций;50858;ии для создания презентаций;18047;ии для презентаций бесплатно;16770
Отрасли;автоматизация производства;34554;автоматизация производства;34554;автоматизация процессов и производств;10384;автоматизация технологических производств;9731
Инструменты;yandexgpt;15047;yandexgpt;15047;нейросеть yandexgpt;1900;яндекс yandexgpt;1673
Внедрение;внедрение ии;14613;внедрение ии;14613;внедрение систем ии;1270;внедрение ии в бизнес;1106
Юристы;ии для юристов;10303;ии для юристов;10303;стриж ии для юристов;3386;ии для юристов бесплатно;1201
Внедрение;ии для бизнеса;9042;ии для бизнеса;9042;ии агенты для бизнеса;1535;ии для бизнеса обучение;624
Управление/люди;цифровые сотрудники;5809;цифровой сотрудник;5815;электронный цифровой сотрудник;396;руководитель цифровых сотрудников;394
Отрасли;ии в медицине;4635;ии в медицине;4635;применение ии в медицине;587;использование ии в медицине;495
Юристы;нейросеть для юристов;4417;нейросеть для юристов;4417;стриж нейросеть для юристов;913;нейросеть для юристов бесплатно;692
Инструменты;как пользоваться нейросетью;3879;как пользоваться нейросетью;3879;как пользоваться нейросетями в россии;629;как пользоваться нейросетями бесплатно;597
ИИ-агенты;как создать ии агента;3528;как создать ии агента;3528;как создать ии агента бесплатно;227;как создать ии агента в дипсик;104
ИИ-агенты;бесплатные ии агенты;2971;бесплатные ии агенты;2971;как создать ии агента бесплатно;227;создание ии агента бесплатно;141
Внедрение;нейросеть для бизнеса;2703;нейросети для бизнеса;2703;ии нейросеть для бизнеса;444;курс по нейросетям для бизнеса;341
Инструменты;нейросеть для таблиц;2653;нейросеть для таблиц;2653;нейросеть для создания таблиц;503;нейросеть для работы с таблицами;445
ИИ-агенты;ии агент что это;2628;ии агенты что это;2628;ии агенты для бизнеса что это;45;создание ии агентов что это;30
Продажи/CRM;ии для продаж;2531;ии для продаж;2531;ии для фото продажи;367;ии для продажи товара;213
Отрасли;ии в строительстве;2161;ии в строительстве;2161;ии в строительстве курсы;119;применение ии в строительстве;107
Отрасли;ии на производстве;1853;ии на производстве;1853;применение ии на производстве;235;внедрение ии на производстве;137
Инструменты;как написать промпт;1733;как написать промпт;1733;как правильно написать промпт;297;как написать промпт для нейросети;226
